Date,Open,High,Low,Close,Volume,Market Cap
"Apr 15, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 1,18,67,500.00","$ 52,12,61,891.00"
"Apr 14, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 1,35,85,900.00","$ 47,32,28,673.00"
"Apr 13, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 1,81,50,400.00","$ 45,54,30,861.00"
"Apr 12, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 1,38,77,700.00","$ 43,29,50,912.00"
"Apr 11, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 2,52,92,400.00","$ 38,71,08,403.00"
"Apr 10, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 1,02,12,100.00","$ 34,67,37,261.00"
"Apr 09, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 48,27,250.00","$ 31,48,07,366.00"
"Apr 08, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 36,83,180.00","$ 32,38,84,729.00"
"Apr 07, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 30,34,220.00","$ 31,91,68,904.00"
"Apr 06, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 28,48,290.00","$ 30,41,30,896.00"
"Apr 05, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 48,29,150.00","$ 30,90,54,897.00"
"Apr 04, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 53,30,250.00","$ 31,54,75,248.00"
"Apr 03, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 66,18,080.00","$ 33,92,66,307.00"
"Apr 02, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 50,34,000.00","$ 31,84,65,574.00"
"Apr 01, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 33,73,820.00","$ 30,94,85,889.00"
"Mar 31, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 35,05,010.00","$ 32,09,11,092.00"
"Mar 30, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 53,78,440.00","$ 31,44,63,228.00"
"Mar 29, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 56,30,550.00","$ 32,16,55,144.00"
"Mar 28, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 49,12,220.00","$ 35,73,44,344.00"
"Mar 27, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 52,35,300.00","$ 35,77,85,687.00"
"Mar 26, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 60,61,990.00","$ 37,41,76,872.00"
"Mar 25, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 34,76,340.00","$ 39,86,79,314.00"
"Mar 24, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 44,61,220.00","$ 40,83,01,808.00"
"Mar 23, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 61,78,530.00","$ 40,47,72,685.00"
"Mar 22, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 52,10,480.00","$ 40,11,39,207.00"
"Mar 21, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 67,11,100.00","$ 41,59,21,725.00"
"Mar 20, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 66,38,060.00","$ 41,49,90,078.00"
"Mar 19, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 82,78,910.00","$ 39,09,80,328.00"
"Mar 18, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 90,29,610.00","$ 36,25,43,841.00"
"Mar 17, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 62,31,110.00","$ 37,48,24,967.00"
